LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Descriptions
AUS,SUICIDE,TOT,SUM,PER,A,sixty,13.6,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyOne,15,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyTwo,17.4,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyThree,19.8,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyFour,18.4,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyFive,18.5,
AUS,SUICIDE,TOT,SUM,PER,A,sixtySix,17.9,
AUS,SUICIDE,TOT,SUM,PER,A,sixtySeven,19,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyEight,16,
AUS,SUICIDE,TOT,SUM,PER,A,sixtyNine,15.3,
AUS,SUICIDE,TOT,SUM,PER,A,seventy,15.4,
AUS,SUICIDE,TOT,SUM,PER,A,seventyOne,16.6,
AUS,SUICIDE,TOT,SUM,PER,A,seventyTwo,15.3,
AUS,SUICIDE,TOT,SUM,PER,A,seventyThree,14.1,
AUS,SUICIDE,TOT,SUM,PER,A,seventyFour,14.4,
AUS,SUICIDE,TOT,SUM,PER,A,seventyFive,13.3,
AUS,SUICIDE,TOT,SUM,PER,A,seventySix,12.9,
AUS,SUICIDE,TOT,SUM,PER,A,seventySeven,13.1,
AUS,SUICIDE,TOT,SUM,PER,A,seventyEight,12.9,
AUS,SUICIDE,TOT,SUM,PER,A,seventyNine,13.2,
AUS,SUICIDE,TOT,SUM,PER,A,eighty,12.5,
AUS,SUICIDE,TOT,SUM,PER,A,eightyOne,12.8,
AUS,SUICIDE,TOT,SUM,PER,A,eightyTwo,13.2,
AUS,SUICIDE,TOT,SUM,PER,A,eightyThree,12.4,
AUS,SUICIDE,TOT,SUM,PER,A,eightyFour,12.5,
AUS,SUICIDE,TOT,SUM,PER,A,eightyFive,12.8,
AUS,SUICIDE,TOT,SUM,PER,A,eightySix,13.8,
AUS,SUICIDE,TOT,SUM,PER,A,eightySeven,14.5,
AUS,SUICIDE,TOT,SUM,PER,A,eightyEight,14,
AUS,SUICIDE,TOT,SUM,PER,A,eightyNine,13.1,
AUS,SUICIDE,TOT,SUM,PER,A,ninety,13.6,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyOne,13.9,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyTwo,13.5,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyThree,12.1,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyFour,13.3,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyFive,12.3,
AUS,SUICIDE,TOT,SUM,PER,A,ninetySix,13.6,
AUS,SUICIDE,TOT,SUM,PER,A,ninetySeven,14.6,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyEight,14.2,
AUS,SUICIDE,TOT,SUM,PER,A,ninetyNine,13.4,
AUS,SUICIDE,TOT,SUM,PER,A,zero,12.7,
AUS,SUICIDE,TOT,SUM,PER,A,one,12.9,
AUS,SUICIDE,TOT,SUM,PER,A,two,12,
AUS,SUICIDE,TOT,SUM,PER,A,three,11,
AUS,SUICIDE,TOT,SUM,PER,A,four,10.7,
AUS,SUICIDE,TOT,SUM,PER,A,six,10.6,
AUS,SUICIDE,TOT,SUM,PER,A,seven,10.7,
AUS,SUICIDE,TOT,SUM,PER,A,eight,11.1,
AUS,SUICIDE,TOT,SUM,PER,A,nine,10.8,
AUS,SUICIDE,TOT,SUM,PER,A,ten,11,
AUS,SUICIDE,TOT,SUM,PER,A,eleven,10.9,
AUS,SUICIDE,TOT,SUM,PER,A,twelve,11.5,
AUS,SUICIDE,TOT,SUM,PER,A,thirteen,11.5,
AUS,SUICIDE,TOT,SUM,PER,A,fourteen,12.6,
AUS,SUICIDE,TOT,SUM,PER,A,fifteen,13.2,
AUS,SUICIDE,TOT,SUM,PER,A,sixteen,12.2,
AUS,SUICIDE,TOT,SUM,PER,A,seventeen,13.6,
AUS,SUICIDE,TOT,SUM,PER,A,eighteen,13,
AUS,SUICIDE,TOT,SUM,PER,A,nineteen,13.3,
AUS,SUICIDE,TOT,SUM,PER,A,twenty,12.4,https://www.nma.gov.au/defining-moments/defining-moments-timeline. The fluctuating rate of suicide rates may be due to these events: 1965 - Australian troops committed to the US war effort in Vietnam. 1974 - Devastation from Cyclone Tracy. 1996 - Port Arthur massacre where 35 people were killed. 2002 - Bali bombings represent the single largest loss of Australian life due to an act of terror. 2020 - The first case of COVID-19 is confirmed in Australia,
AUT,SUICIDE,TOT,SUM,PER,A,sixty,25,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyOne,23.9,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyTwo,24.6,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyThree,23.7,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyFour,24.9,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyFive,25.2,
AUT,SUICIDE,TOT,SUM,PER,A,sixtySix,25.4,
AUT,SUICIDE,TOT,SUM,PER,A,sixtySeven,24.8,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyEight,24.4,
AUT,SUICIDE,TOT,SUM,PER,A,sixtyNine,25.1,
AUT,SUICIDE,TOT,SUM,PER,A,seventy,27.3,
AUT,SUICIDE,TOT,SUM,PER,A,seventyOne,25.7,
AUT,SUICIDE,TOT,SUM,PER,A,seventyTwo,26.4,
AUT,SUICIDE,TOT,SUM,PER,A,seventyThree,25,
AUT,SUICIDE,TOT,SUM,PER,A,seventyFour,26.6,
AUT,SUICIDE,TOT,SUM,PER,A,seventyFive,27,
AUT,SUICIDE,TOT,SUM,PER,A,seventySix,25.1,
AUT,SUICIDE,TOT,SUM,PER,A,seventySeven,26.6,
AUT,SUICIDE,TOT,SUM,PER,A,seventyEight,26.9,
AUT,SUICIDE,TOT,SUM,PER,A,seventyNine,27.2,
AUT,SUICIDE,TOT,SUM,PER,A,eighty,27.7,
AUT,SUICIDE,TOT,SUM,PER,A,eightyOne,28.7,
AUT,SUICIDE,TOT,SUM,PER,A,eightyTwo,29.2,
AUT,SUICIDE,TOT,SUM,PER,A,eightyThree,28.7,
AUT,SUICIDE,TOT,SUM,PER,A,eightyFour,28.4,
AUT,SUICIDE,TOT,SUM,PER,A,eightyFive,28.9,
AUT,SUICIDE,TOT,SUM,PER,A,eightySix,29.4,
AUT,SUICIDE,TOT,SUM,PER,A,eightySeven,28.5,
AUT,SUICIDE,TOT,SUM,PER,A,eightyEight,25.3,
AUT,SUICIDE,TOT,SUM,PER,A,eightyNine,25.9,
AUT,SUICIDE,TOT,SUM,PER,A,ninety,24.7,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyOne,23.6,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyTwo,23.4,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyThree,22.4,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyFour,23.2,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyFive,23.1,
AUT,SUICIDE,TOT,SUM,PER,A,ninetySix,23.1,
AUT,SUICIDE,TOT,SUM,PER,A,ninetySeven,20.4,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyEight,20.1,
AUT,SUICIDE,TOT,SUM,PER,A,ninetyNine,19.9,
AUT,SUICIDE,TOT,SUM,PER,A,zero,20.1,
AUT,SUICIDE,TOT,SUM,PER,A,one,18.6,
AUT,SUICIDE,TOT,SUM,PER,A,two,19.2,
AUT,SUICIDE,TOT,SUM,PER,A,three,18,
AUT,SUICIDE,TOT,SUM,PER,A,four,17.3,
AUT,SUICIDE,TOT,SUM,PER,A,five,16.8,
AUT,SUICIDE,TOT,SUM,PER,A,six,15.2,
AUT,SUICIDE,TOT,SUM,PER,A,seven,15.1,
AUT,SUICIDE,TOT,SUM,PER,A,eight,14.6,
AUT,SUICIDE,TOT,SUM,PER,A,nine,14.6,
AUT,SUICIDE,TOT,SUM,PER,A,ten,14.4,
AUT,SUICIDE,TOT,SUM,PER,A,eleven,14.6,
AUT,SUICIDE,TOT,SUM,PER,A,twelve,14.2,
AUT,SUICIDE,TOT,SUM,PER,A,thirteen,14.2,
AUT,SUICIDE,TOT,SUM,PER,A,fourteen,14.3,
AUT,SUICIDE,TOT,SUM,PER,A,fifteen,13.4,
AUT,SUICIDE,TOT,SUM,PER,A,sixteen,12.7,
AUT,SUICIDE,TOT,SUM,PER,A,seventeen,12.8,
AUT,SUICIDE,TOT,SUM,PER,A,eighteen,12.5,
AUT,SUICIDE,TOT,SUM,PER,A,nineteen,11.4,
AUT,SUICIDE,TOT,SUM,PER,A,twenty,10.8,https://www.bbc.com/news/world-europe-17431408.amp. The fluctuating rate of suicide rates may be due to these events: 1955 - Treaty signed by UK and France and US and USSR establishes an independent but neutral Austria - a convenient buffer between the West and the Soviet bloc. Austria joins the United Nations. 1986 - Ex-UN Secretary-General Kurt Waldheim elected president. 2001 - Deal signed on compensating Jews whose assets were seized by Nazis. Government and companies to pay $360m into a settlement fund. 2020 Jihadist gunmen kills four people in central Vienna,
BEL,SUICIDE,TOT,SUM,PER,A,sixty,17.1,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyOne,17,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyTwo,15.8,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyThree,16.4,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyFour,16.2,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyFive,17.5,
BEL,SUICIDE,TOT,SUM,PER,A,sixtySix,16.8,
BEL,SUICIDE,TOT,SUM,PER,A,sixtySeven,17.4,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyEight,18,
BEL,SUICIDE,TOT,SUM,PER,A,sixtyNine,17.6,
BEL,SUICIDE,TOT,SUM,PER,A,seventy,19.1,
BEL,SUICIDE,TOT,SUM,PER,A,seventyOne,17.8,
BEL,SUICIDE,TOT,SUM,PER,A,seventyTwo,17.8,
BEL,SUICIDE,TOT,SUM,PER,A,seventyThree,17.2,
BEL,SUICIDE,TOT,SUM,PER,A,seventyFour,17.8,
BEL,SUICIDE,TOT,SUM,PER,A,seventyFive,18.3,
BEL,SUICIDE,TOT,SUM,PER,A,seventySix,18.7,
BEL,SUICIDE,TOT,SUM,PER,A,seventySeven,21.1,
BEL,SUICIDE,TOT,SUM,PER,A,seventyEight,22.9,
BEL,SUICIDE,TOT,SUM,PER,A,seventyNine,23.6,
BEL,SUICIDE,TOT,SUM,PER,A,eighty,24.3,
BEL,SUICIDE,TOT,SUM,PER,A,eightyOne,23.8,
BEL,SUICIDE,TOT,SUM,PER,A,eightyTwo,23.6,
BEL,SUICIDE,TOT,SUM,PER,A,eightyThree,24.6,
BEL,SUICIDE,TOT,SUM,PER,A,eightyFour,25.4,
BEL,SUICIDE,TOT,SUM,PER,A,eightyFive,24.7,
BEL,SUICIDE,TOT,SUM,PER,A,eightySix,23.5,
BEL,SUICIDE,TOT,SUM,PER,A,eightySeven,23.8,
BEL,SUICIDE,TOT,SUM,PER,A,eightyEight,21.2,
BEL,SUICIDE,TOT,SUM,PER,A,eightyNine,20.1,
BEL,SUICIDE,TOT,SUM,PER,A,ninety,19.8,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyOne,18.6,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyTwo,19.2,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyThree,21.8,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyFour,21.5,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyFive,21.6,
BEL,SUICIDE,TOT,SUM,PER,A,ninetySix,20,
BEL,SUICIDE,TOT,SUM,PER,A,ninetySeven,21.4,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyEight,20,
BEL,SUICIDE,TOT,SUM,PER,A,ninetyNine,18.2,
BEL,SUICIDE,TOT,SUM,PER,A,zero,20.9,
BEL,SUICIDE,TOT,SUM,PER,A,one,21,
BEL,SUICIDE,TOT,SUM,PER,A,two,20,
BEL,SUICIDE,TOT,SUM,PER,A,three,20.1,
BEL,SUICIDE,TOT,SUM,PER,A,four,18.8,
BEL,SUICIDE,TOT,SUM,PER,A,five,19.1,
BEL,SUICIDE,TOT,SUM,PER,A,six,18.1,
BEL,SUICIDE,TOT,SUM,PER,A,seven,17.1,
BEL,SUICIDE,TOT,SUM,PER,A,eight,18.3,
BEL,SUICIDE,TOT,SUM,PER,A,nine,18.3,
BEL,SUICIDE,TOT,SUM,PER,A,ten,18.2,
BEL,SUICIDE,TOT,SUM,PER,A,eleven,18.6,
BEL,SUICIDE,TOT,SUM,PER,A,twelve,17.9,
BEL,SUICIDE,TOT,SUM,PER,A,thirteen,16.6,
BEL,SUICIDE,TOT,SUM,PER,A,fourteen,16.5,
BEL,SUICIDE,TOT,SUM,PER,A,fifteen,16.2,
BEL,SUICIDE,TOT,SUM,PER,A,sixteen,16.3,
BEL,SUICIDE,TOT,SUM,PER,A,seventeen,14.8,
